"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","S9175-ND","SBH11-PBPC-D20-ST-BK","CONN HEADER VERT 40POS 2.54MM","","2","0","0.73000","1.46"
"2","2","H3DDH-4018G-ND","H3DDH-4018G","IDC CBL - HHKR40H/AE40G/HHKR40H","","0","2","3.63000","7.26"
"3","1","2057-FDP-640-T-ND","FDP-640-T","PLUG FLAT CABLE IDC 40P 2.54MM P","","1","0","1.90000","1.90"
